"","fips","county","democrat","republican","other","totalpopulation"
"1",51001,"ACCOMACK",0.446139600173949,0.534589096259573,0.0192713035664782,"33413"
"2",51003,"ALBEMARLE",0.554544532291446,0.413003303598887,0.0324521641096669,"112395"
"3",51005,"ALLEGHANY",0.40050800739568,0.580623975644656,0.0188680169596632,"15223"
"4",51007,"AMELIA",0.343364898994046,0.641623873094497,0.0150112279114567,"13265"
"5",51009,"AMHERST",0.377475243620163,0.604901901534695,0.0176228548451417,"31307"
"6",51011,"APPOMATTOX",0.309605309005631,0.670773195363314,0.019621495631055,"16119"
"7",51013,"ARLINGTON",0.708277490014064,0.259371355434342,0.0323511545515939,"238643"
"8",51015,"AUGUSTA",0.259324831039012,0.714603191909223,0.0260719770517654,"77487"
"9",51017,"BATH",0.348624919229741,0.628151644985066,0.0232234357851929,"4209"
"10",51019,"BEDFORD",0.277006468528219,0.700616608001332,0.0223769234704491,"79462"
"11",51021,"BLAND",0.241737218661907,0.734497146216949,0.0237656351211435,"6270"
"12",51023,"BOTETOURT",0.295644374975577,0.683362855778702,0.0209927692457202,"33596"
"13",51025,"BRUNSWICK",0.593007907727699,0.398534571067448,0.00845752120485252,"15849"
"14",51027,"BUCHANAN",0.375169805797906,0.610289070339002,0.014541123863092,"20355"
"15",51029,"BUCKINGHAM",0.464971761072295,0.516611726402203,0.018416512525502,"16824"
"16",51031,"CAMPBELL",0.291149389945293,0.687242562437825,0.0216080476168819,"55696"
"17",51033,"CAROLINE",0.499484855397907,0.473995992676505,0.0265191519255877,"30887"
"18",51035,"CARROLL",0.27198933146917,0.706480783821967,0.0215298847088628,"29155"
"19",51036,"CHARLES CITY",0.634954340254666,0.349037337698857,0.0160083220464768,"6773"
"20",51037,"CHARLOTTE",0.403614339401975,0.579691647550746,0.0166940130472789,"11529"
"21",51041,"CHESTERFIELD",0.435599663087024,0.543420632128661,0.0209797047843145,"364548"
"22",51043,"CLARKE",0.416441714563914,0.552417896859171,0.0311403885769152,"14783"
"23",51045,"CRAIG",0.284956106223712,0.692681757231088,0.0223621365451995,"4892"
"24",51047,"CULPEPER",0.383982233205764,0.592830309639981,0.0231874571542544,"52552"
"25",51049,"CUMBERLAND",0.434840764926305,0.545261440281783,0.0198977947919116,"9675"
"26",51051,"DICKENSON",0.38520172741402,0.596782766574861,0.0180155060111192,"14124"
"27",51053,"DINWIDDIE",0.443841138080641,0.54183411760122,0.0143247443181386,"27947"
"28",51057,"ESSEX",0.493173209331475,0.490366012538189,0.0164607781303362,"10599"
"29",51059,"FAIRFAX",0.591161485489656,0.382381199323199,0.0264573151871455,"1150309"
"30",51061,"FAUQUIER",0.379950171498653,0.59501352508202,0.0250363034193271,"72972"
"31",51063,"FLOYD",0.343914204592263,0.622588086324656,0.0334977090830811,"15476"
"32",51065,"FLUVANNA",0.439406286697312,0.536428992617492,0.0241647206851956,"27249"
"33",51067,"FRANKLIN",0.334961547026448,0.642169714512296,0.0228687384612555,"54477"
"34",51069,"FREDERICK",0.335400746660107,0.638311072505684,0.0262881808342089,"91419"
"35",51071,"GILES",0.348318520116103,0.626340892539549,0.0253405873443478,"16787"
"36",51073,"GLOUCESTER",0.323907879338651,0.651397947779368,0.0246941728819809,"38711"
"37",51075,"GOOCHLAND",0.364632987714674,0.61430089165385,0.0210661206314761,"24727"
"38",51077,"GRAYSON",0.286056543593755,0.690673558208005,0.0232698981982394,"15333"
"39",51079,"GREENE",0.345300313806621,0.62133069875433,0.0333689874390486,"20552"
"40",51081,"GREENSVILLE",0.603120617952902,0.389383955540087,0.00749542650701136,"11391"
"41",51083,"HALIFAX",0.436906618826493,0.548835893904122,0.0142574872693844,"34022"
"42",51085,"HANOVER",0.312285017038611,0.666290710797474,0.0214242721639152,"109979"
"43",51087,"HENRICO",0.533530672002209,0.444923298314737,0.0215460296830541,"334389"
"44",51089,"HENRY",0.396407241424765,0.583311142993389,0.0202816155818459,"50948"
"45",51091,"HIGHLAND",0.316982921588362,0.659168387567602,0.0238486908440361,"2232"
"46",51093,"ISLE OF WIGHT",0.398759681827657,0.58409556041718,0.0171447577551631,"38606"
"47",51095,"JAMES CITY",0.432554617785969,0.543716475290585,0.0237289069234455,"78254"
"48",51097,"KING AND QUEEN",0.453669932111288,0.529262741006428,0.0170673268822835,"6608"
"49",51099,"KING GEORGE",0.372336091406178,0.601343158533916,0.0263207500599066,"26723"
"50",51101,"KING WILLIAM",0.350192795446548,0.632211218205657,0.0175959863477948,"17810"
"51",51103,"LANCASTER",0.42900000471607,0.555824098453645,0.0151758968302845,"10919"
"52",51105,"LEE",0.301917051194399,0.681355594408932,0.0167273543966693,"22173"
"53",51107,"LOUDOUN",0.510406527138793,0.464915026000196,0.0246784468610111,"420959"
"54",51109,"LOUISA",0.40601017141596,0.571033169292783,0.0229566592912576,"37596"
"55",51111,"LUNENBURG",0.439944166707887,0.547594180315747,0.0124616529763658,"11936"
"56",51113,"MADISON",0.369572965220362,0.605286885956838,0.0251401488228001,"13837"
"57",51115,"MATHEWS",0.322364685504381,0.656312329271296,0.0213229852243238,"8533"
"58",51117,"MECKLENBURG",0.432945600202008,0.552072427365043,0.0149819724329487,"30319"
"59",51119,"MIDDLESEX",0.369617524865056,0.606796845547894,0.0235856295870499,"10625"
"60",51121,"MONTGOMERY",0.477212396742929,0.487156155323228,0.0356314479338433,"99721"
"61",51125,"NELSON",0.487116088843121,0.48540576955006,0.0274781416068188,"14775"
"62",51127,"NEW KENT",0.321122375899389,0.659014063521973,0.0198635605786379,"22945"
"63",51131,"NORTHAMPTON",0.534730111183467,0.442274824586006,0.0229950642305269,"12282"
"64",51133,"NORTHUMBERLAND",0.407746977669829,0.57817183334345,0.014081188986721,"11839"
"65",51135,"NOTTOWAY",0.450168409126579,0.53139520434726,0.0184363865261614,"15642"
"66",51137,"ORANGE",0.396921674606743,0.580398729459916,0.022679595933341,"36254"
"67",51139,"PAGE",0.322195438236626,0.660317858764913,0.017486702998461,"23709"
"68",51141,"PATRICK",0.276790643176638,0.700072700045624,0.0231366567777382,"17608"
"69",51143,"PITTSYLVANIA",0.329480207292709,0.652286469479526,0.0182333232277642,"60501"
"70",51145,"POWHATAN",0.266827718854933,0.712219588716925,0.0209526924281412,"30333"
"71",51147,"PRINCE EDWARD",0.512665705215967,0.46286646297017,0.0244678318138628,"21849"
"72",51149,"PRINCE GEORGE",0.408494763411318,0.577055691790116,0.0144495447985658,"43010"
