county,democrat,republican,other,totalpopulation,N1,N2,N3,N4,N5,N6,N7,N8,N7,N8,,
BOTETOURT,0.295644375,0.683362856,0.020992769,33596,CRAIG,ALLEGHANY,ROCKBRIDGE,BEDFORD,ROANOKE,,,,,,,
BRISTOL,0.339130531,0.640279181,0.020590289,17219,WASHINGTON,,,,,,,,,,,
BRUNSWICK,0.593007908,0.398534571,0.008457521,15849,MECKLENBURG,LUNENBURG,NOTTOWAY,DINWIDDIE,GREENSVILLE,,,,,,,
BUCHANAN,0.375169806,0.61028907,0.014541124,20355,RUSSELL,TAZEWELL,DICKENSON,,,,,,,,,
BUCKINGHAM,0.464971761,0.516611726,0.018416513,16824,APPOMATTOX,NELSON,ALBEMARLE,FLUVANNA,CUMBERLAND,PRINCE EDWARD,,,,,,
BUENA VISTA,0.379075426,0.583800779,0.037123794,6641,ROCKBRIDGE,,,,,,,,,,,
CAMPBELL,0.29114939,0.687242562,0.021608048,55696,BEDFORD,LYNCHBURG,AMHERST,APPOMATTOX,CHARLOTTE,HALIFAX,PITTSYLVANIA,,,,,
CAROLINE,0.499484855,0.473995993,0.026519152,30887,HANOVER,SPOTSYLVANIA,KING GEORGE,STAFFORD,ESSEX,KING AND QUEEN,KING WILLIAM,,,,,
CARROLL,0.271989331,0.706480784,0.021529885,29155,GALAX,WYTHE,PULASKI,FLOYD,PATRICK,GRAYSON,,,,,,
CHARLES CITY,0.63495434,0.349037338,0.016008322,6773,HENRICO,NEW KENT,JAMES CITY,PRINCE GEORGE,CHESTERFIELD,SURRY,HOPEWELL,,,,,
CHARLOTTE,0.403614339,0.579691648,0.016694013,11529,HALIFAX,CAMPBELL,APPOMATTOX,PRINCE EDWARD,LUNENBURG,MECKLENBURG,,,,,,
CHARLOTTESVILLE,0.749490282,0.210045113,0.040464606,46553,ALBEMARLE,,,,,,,,,,,
CHESAPEAKE,0.477124299,0.502921497,0.019954204,249422,SUFFOLK,VIRGINIA BEACH,PORTSMOUTH,NORFOLK,,,,,,,,
CHESTERFIELD,0.435599663,0.543420632,0.020979705,364548,AMELIA,POWHATAN,RICHMOND CITY,COLONIAL HEIGHTS,HOPEWELL,PRINCE GEORGE,DINWIDDIE,CHARLES CITY,GOOCHLAND,HENRICO,,
CLARKE,0.416441715,0.552417897,0.031140389,14783,FREDERICK,WARREN,FAUQUIER,LOUDOUN,,,,,,,,
COLONIAL HEIGHTS,0.284850659,0.694415045,0.020734296,18170,CHESTERFIELD,PRINCE GEORGE,PETERSBURG,DINWIDDIE,,,,,,,,
COVINGTON,0.485672681,0.490198076,0.024129244,5737,ALLEGHANY,,,,,,,,,,,
CRAIG,0.284956106,0.692681757,0.022362137,4892,GILES,MONTGOMERY,ROANOKE,BOTETOURT,ALLEGHANY,,,,,,,
CULPEPER,0.383982233,0.59283031,0.023187457,52552,MADISON,RAPPAHANNOCK,FAUQUIER,STAFFORD,SPOTSYLVANIA,ORANGE,,,,,,
CUMBERLAND,0.434840765,0.54526144,0.019897795,9675,BUCKINGHAM,FLUVANNA,GOOCHLAND,POWHATAN,AMELIA,PRINCE EDWARD,,,,,,
DANVILLE,0.554033591,0.426386926,0.019579482,42590,PITTSYLVANIA,,,,,,,,,,,
DICKENSON,0.385201727,0.596782767,0.018015506,14124,WISE,BUCHANAN,RUSSELL,,,,,,,,,
DINWIDDIE,0.443841138,0.541834118,0.014324744,27947,BRUNSWICK,NOTTOWAY,AMELIA,CHESTERFIELD,PETERSBURG,COLONIAL HEIGHTS,PRINCE GEORGE,SUSSEX,GREENSVILLE,,,
EMPORIA,0.622663659,0.368117358,0.009218984,5766,GREENSVILLE,,,,,,,,,,,
ESSEX,0.493173209,0.490366013,0.016460778,10599,CAROLINE,KING GEORGE,RICHMOND,LANCASTER,MIDDLESEX,KING AND QUEEN,CAROLINE,WESTMORELAND,,,,
FAIRFAX,0.591161485,0.382381199,0.026457315,1174455,FALLS CHURCH,LOUDOUN,PRINCE WILLIAM,ARLINGTON,ALEXANDRIA,FAIRFAX CITY,,,,,,
FAIRFAX CITY,0.568219161,0.400618751,0.031162088,24146,FAIRFAX,,,,,,,,,,,
FALLS CHURCH,0.691317972,0.274615499,0.034066528,14658,FAIRFAX,ARLINGTON,,,,,,,,,,
FAUQUIER,0.379950171,0.595013525,0.025036303,72972,CULPEPER,RAPPAHANNOCK,WARREN,CLARKE,LOUDOUN,PRINCE WILLIAM,STAFFORD,,,,,
FLOYD,0.343914205,0.622588086,0.033497709,15476,PULASKI,CARROLL,MONTGOMERY,ROANOKE,FRANKLIN,PATRICK,,,,,,
FLUVANNA,0.439406287,0.536428993,0.024164721,27249,ALBEMARLE,LOUISA,GOOCHLAND,CUMBERLAND,BUCKINGHAM,,,,,,,
FRANKLIN,0.334961547,0.642169715,0.022868738,62657,FLOYD,ROANOKE,BEDFORD,PITTSYLVANIA,HENRY,PATRICK,,,,,,
FRANKLIN CITY,0.603237118,0.384476284,0.012286598,8180,SOUTHAMPTON,ISLE OF WIGHT,,,,,,,,,,
FREDERICK,0.335400747,0.638311073,0.026288181,91419,SHENANDOAH,WARREN,CLARKE,WILLIAMSBURG,,,,,,,,
FREDERICKSBURG,0.593491291,0.3737266,0.032782109,27982,SPOTSYLVANIA,STAFFORD,,,,,,,,,,
GALAX,0.381172833,0.600125105,0.018702061,6720,GRAYSON,CARROLL,,,,,,,,,,
GILES,0.34831852,0.626340893,0.025340587,16787,BLAND,CRAIG,PULASKI,,,,,,,,,
GLOUCESTER,0.323907879,0.651397948,0.024694173,38711,KING WILLIAM,KING AND QUEEN,MIDDLESEX,MATHEWS,YORK,NORTHAMPTON,POQUOSON,JAMES CITY,NEW KENT,KING WILLIAM,,
GOOCHLAND,0.364632988,0.614300892,0.021066121,24727,FLUVANNA,LOUISA,HANOVER,HENRICO,CHESTERFIELD,POWHATAN,CUMBERLAND,,,,,
GRAYSON,0.286056544,0.690673558,0.023269898,15333,WASHINGTON,SMYTH,WYTHE,CARROLL,GALAX,,,,,,,
GREENE,0.345300314,0.621330699,0.033368987,20552,ALBEMARLE,ROCKINGHAM,PAGE,MADISON,ORANGE,,,,,,,
GREENSVILLE,0.603120618,0.389383956,0.007495427,11391,BRUNSWICK,SUSSEX,DINWIDDIE,SOUTHAMPTON,EMPORIA,,,,,,,
HALIFAX,0.436906619,0.548835894,0.014257487,34022,PITTSYLVANIA,CAMPBELL,CHARLOTTE,MECKLENBURG,,,,,,,,
HAMPTON,0.651434186,0.329415725,0.019150088,137148,POQUOSON,YORK,NEWPORT NEWS,NORFOLK,PORTSMOUTH,NORTHAMPTON,MATHEWS,SUFFOLK,VIRGINIA BEACH,,,
HANOVER,0.312285017,0.666290711,0.021424272,109979,LOUISA,SPOTSYLVANIA,CAROLINE,KING WILLIAM,NEW KENT,HENRICO,GOOCHLAND,,,,,
HARRISONBURG,0.520151467,0.440620083,0.039228449,51814,ROCKINGHAM,,,,,,,,,,,
HENRICO,0.533530672,0.444923298,0.02154603,334389,GOOCHLAND,HANOVER,NEW KENT,CHARLES CITY,CHESTERFIELD,RICHMOND CITY,POWHATAN,,,,,
HENRY,0.396407241,0.583311143,0.020281616,50948,PATRICK,FRANKLIN,PITTSYLVANIA,MARTINSVILLE,,,,,,,,
HIGHLAND,0.316982922,0.659168388,0.023848691,2232,BATH,AUGUSTA,,,,,,,,,,
HOPEWELL,0.516729111,0.461898402,0.021372487,23033,PRINCE GEORGE,CHESTERFIELD,CHARLES CITY,,,,,,,,,
ISLE OF WIGHT,0.398759682,0.58409556,0.017144758,38606,SUFFOLK,SOUTHAMPTON,SURRY,FRANKLIN CITY,WILLIAMSBURG,NEWPORT NEWS,NORFOLK,PORTSMOUTH,,,,
JAMES CITY,0.432554618,0.543716475,0.023728907,78254,CHARLES CITY,NEW KENT,GLOUCESTER,YORK,WILLIAMSBURG,SURRY,PRINCE GEORGE,KING AND QUEEN,NEWPORT NEWS,,,
KING AND QUEEN,0.453669932,0.529262741,0.017067327,6608,CAROLINE,ESSEX,MIDDLESEX,GLOUCESTER,KING WILLIAM,JAMES CITY,NEW KENT,,,,,
KING GEORGE,0.372336091,0.601343159,0.02632075,26723,STAFFORD,CAROLINE,WESTMORELAND,ESSEX,,,,,,,,
KING WILLIAM,0.350192795,0.632211218,0.017595986,17810,HANOVER,CAROLINE,KING AND QUEEN,GLOUCESTER,NEW KENT,,,,,,,
LANCASTER,0.429000005,0.555824098,0.015175897,10919,NORTHUMBERLAND,RICHMOND,ESSEX,MIDDLESEX,ACCOMACK,NORTHAMPTON,,,,,,
LEE,0.301917051,0.681355594,0.016727354,22173,WISE,SCOTT,,,,,,,,,,
LEXINGTON,0.582968232,0.383162971,0.033868796,7320,ROCKBRIDGE,,,,,,,,,,,
LOUDOUN,0.510406527,0.464915026,0.024678447,420959,CLARKE,FAUQUIER,FAIRFAX,PRINCE WILLIAM,,,,,,,,
LOUISA,0.406010171,0.571033169,0.022956659,37596,ALBEMARLE,ORANGE,SPOTSYLVANIA,HANOVER,GOOCHLAND,FLUVANNA,,,,,,
LUNENBURG,0.439944167,0.54759418,0.012461653,11936,MECKLENBURG,CHARLOTTE,PRINCE EDWARD,NOTTOWAY,BRUNSWICK,,,,,,,
LYNCHBURG,0.451474601,0.518421577,0.030103821,79009,BEDFORD,AMHERST,CAMPBELL,,,,,,,,,
MADISON,0.369572965,0.605286886,0.025140149,13837,GREENE,PAGE,RAPPAHANNOCK,CULPEPER,ORANGE,,,,,,,
MANASSAS,0.52017682,0.454154866,0.025668315,42772,PRINCE WILLIAM,MANASSAS PARK,,,,,,,,,,
MANASSAS PARK,0.556192054,0.420682746,0.023125199,17219,PRINCE WILLIAM,,,,,,,,,,,
MARTINSVILLE,0.591450259,0.391355912,0.017193829,13485,HENRY,,,,,,,,,,,
MATHEWS,0.322364686,0.656312329,0.021322985,8533,GLOUCESTER,MIDDLESEX,NORTHAMPTON,ACCOMACK,POQUOSON,HAMPTON,NORFOLK,VIRGINIA BEACH,,,,
MECKLENBURG,0.4329456,0.552072427,0.014981972,30319,HALIFAX,CHARLOTTE,LUNENBURG,BRUNSWICK,,,,,,,,
MIDDLESEX,0.369617525,0.606796846,0.02358563,10625,KING AND QUEEN,ESSEX,GLOUCESTER,MATHEWS,LANCASTER,ACCOMACK,NORTHAMPTON,RICHMOND,,,,
MONTGOMERY,0.477212397,0.487156155,0.035631448,99721,PULASKI,RADFORD,FLOYD,ROANOKE,CRAIG,GILES,,,,,,
NELSON,0.487116089,0.48540577,0.027478142,14775,AMHERST,ROCKBRIDGE,AUGUSTA,ALBEMARLE,BUCKINGHAM,APPOMATTOX,,,,,,
NEW KENT,0.321122376,0.659014064,0.019863561,22945,HANOVER,KING WILLIAM,JAMES CITY,CHARLES CITY,HENRICO,GLOUCESTER,KING AND QUEEN,,,,,
NEWPORT NEWS,0.595522007,0.382887448,0.021590546,186247,NORFOLK,YORK,HAMPTON,SURRY,ISLE OF WIGHT,SUFFOLK,PORTSMOUTH,JAMES CITY,,,,
NORFOLK,0.677338198,0.298902628,0.023759174,238005,VIRGINIA BEACH,CHESAPEAKE,PORTSMOUTH,ISLE OF WIGHT,NEWPORT NEWS,HAMPTON,NORTHAMPTON,MATHEWS,,,,
NORTHAMPTON,0.534730111,0.442274825,0.022995064,12282,ACCOMACK,MATHEWS,MIDDLESEX,LANCASTER,NORTHUMBERLAND,POQUOSON,HAMPTON,NORFOLK,VIRGINIA BEACH,HAMPTON,GLOUCESTER,YORK
NORTHUMBERLAND,0.407746978,0.578171833,0.014081189,11839,RICHMOND,WESTMORELAND,LANCASTER,ACCOMACK,NORTHAMPTON,,,,,,,
NORTON,0.411936809,0.568703656,0.019359535,3687,WISE,,,,,,,,,,,
NOTTOWAY,0.450168409,0.531395204,0.018436387,15642,PRINCE EDWARD,AMELIA,DINWIDDIE,BRUNSWICK,LUNENBURG,,,,,,,
ORANGE,0.396921675,0.580398729,0.022679596,36254,GREENE,MADISON,CULPEPER,SPOTSYLVANIA,LOUISA,ALBEMARLE,,,,,,
PAGE,0.322195438,0.660317859,0.017486703,23709,SHENANDOAH,WARREN,RAPPAHANNOCK,MADISON,ROCKINGHAM,GREENE,,,,,,
PATRICK,0.276790643,0.7000727,0.023136657,17608,CARROLL,FLOYD,FRANKLIN,HENRY,,,,,,,,
PETERSBURG,0.855690661,0.132189017,0.012120322,33458,DINWIDDIE,COLONIAL HEIGHTS,PRINCE GEORGE,,,,,,,,,
PITTSYLVANIA,0.329480207,0.652286469,0.018233323,60501,HENRY,FRANKLIN,BEDFORD,CAMPBELL,HALIFAX,DANVILLE,,,,,,
POQUOSON,0.239167098,0.735244565,0.025588337,12460,YORK,GLOUCESTER,MATHEWS,NORTHAMPTON,HAMPTON,,,,,,,
PORTSMOUTH,0.665252347,0.317055432,0.017692221,97915,CHESAPEAKE,SUFFOLK,ISLE OF WIGHT,NEWPORT NEWS,HAMPTON,NORFOLK,,,,,,
POWHATAN,0.266827719,0.712219589,0.020952692,30333,CUMBERLAND,GOOCHLAND,HENRICO,CHESTERFIELD,AMELIA,,,,,,,
PRINCE EDWARD,0.512665705,0.462866463,0.024467832,21849,CHARLOTTE,APPOMATTOX,BUCKINGHAM,CUMBERLAND,AMELIA,NOTTOWAY,LUNENBURG,,,,,
PRINCE GEORGE,0.408494763,0.577055692,0.014449545,43010,SURRY,SUSSEX,DINWIDDIE,PETERSBURG,COLONIAL HEIGHTS,HOPEWELL,CHESTERFIELD,CHARLES CITY,JAMES CITY,,,
PRINCE WILLIAM,0.54321465,0.433961261,0.022824089,482204,FAUQUIER,LOUDOUN,FAIRFAX,MANASSAS,MANASSAS PARK,STAFFORD,,,,,,
PULASKI,0.349756759,0.624642038,0.025601203,33800,BLAND,WYTHE,CARROLL,FLOYD,MONTGOMERY,RADFORD,GILES,,,,,
RADFORD,0.497449176,0.468008053,0.034542771,16070,PULASKI,MONTGOMERY,,,,,,,,,,
RAPPAHANNOCK,0.43545307,0.538336379,0.026210551,7348,PAGE,WARREN,CLARKE,FAUQUIER,CULPEPER,MADISON,,,,,,
RICHMOND,0.755527535,0.217373373,0.027099093,235533,WESTMORELAND,NORTHUMBERLAND,LANCASTER,ESSEX,MIDDLESEX,,,,,,,
RICHMOND CITY,0.755527535,0.217373373,0.027099093,226610,HENRICO,CHESTERFIELD,,,,,,,,,,
ROANOKE,0.575840028,0.397690972,0.026469,196940,CRAIG,MONTGOMERY,FLOYD,FRANKLIN,BEDFORD,BOTETOURT,SALEM,ROANOKE CITY,,,,
ROANOKE CITY,0.575840028,0.397690972,0.026469,100011,ROANOKE,SALEM,,,,,,,,,,
ROCKBRIDGE,0.37591801,0.59687927,0.02720272,22650,ALLEGHANY,BATH,AUGUSTA,NELSON,AMHERST,BEDFORD,BOTETOURT,LEXINGTON,BUENA VISTA,,,
ROCKINGHAM,0.272121251,0.704365727,0.023513022,83757,HARRISONBURG,AUGUSTA,SHENANDOAH,PAGE,GREENE,ALBEMARLE,,,,,,
RUSSELL,0.343467934,0.637346419,0.019185646,25781,WISE,DICKENSON,BUCHANAN,TAZEWELL,SMYTH,WASHINGTON,SCOTT,,,,,
SALEM,0.385832238,0.589629152,0.02453861,25346,ROANOKE,ROANOKE CITY,,,,,,,,,,
SCOTT,0.256975317,0.724113339,0.018911344,21576,LEE,WISE,RUSSELL,WASHINGTON,,,,,,,,
SHENANDOAH,0.30791317,0.66833689,0.023749939,44186,ROCKINGHAM,PAGE,WARREN,FREDERICK,,,,,,,,
SMYTH,0.30646639,0.670900116,0.022633494,29800,WASHINGTON,TAZEWELL,RUSSELL,BLAND,WYTHE,GRAYSON,,,,,,
SOUTHAMPTON,0.455535602,0.532632906,0.011831492,17996,GREENSVILLE,SUSSEX,SURRY,ISLE OF WIGHT,FRANKLIN CITY,SUFFOLK,,,,,,
SPOTSYLVANIA,0.414491921,0.56250335,0.023004729,140032,LOUISA,ORANGE,CULPEPER,STAFFORD,FREDERICKSBURG,CAROLINE,HANOVER,,,,,
STAFFORD,0.430514895,0.545745334,0.023739771,156927,KING GEORGE,CAROLINE,SPOTSYLVANIA,FREDERICKSBURG,CULPEPER,FAUQUIER,PRINCE WILLIAM,,,,,
STAUNTON,0.4680346,0.504065945,0.027899455,25750,AUGUSTA,,,,,,,,,,,
SUFFOLK,0.537921062,0.445071796,0.017007143,94324,ISLE OF WIGHT,SOUTHAMPTON,CHESAPEAKE,NEWPORT NEWS,HAMPTON,PORTSMOUTH,,,,,,
SURRY,0.567437058,0.416690408,0.015872535,6561,PRINCE GEORGE,SUSSEX,ISLE OF WIGHT,SOUTHAMPTON,NEWPORT NEWS,JAMES CITY,CHARLES CITY,,,,,
SUSSEX,0.571620373,0.412425214,0.015954413,10829,GREENSVILLE,SOUTHAMPTON,PRINCE GEORGE,SURRY,DINWIDDIE,,,,,,,
TAZEWELL,0.283766417,0.698048109,0.018185474,40429,RUSSELL,SMYTH,BLAND,BUCHANAN,,,,,,,,
VIRGINIA BEACH,0.458710641,0.516227712,0.025061647,459470,NORFOLK,MATHEWS,NORTHAMPTON,HAMPTON,CHESAPEAKE,,,,,,,
WARREN,0.363191292,0.606850285,0.029958423,40727,SHENANDOAH,FREDERICK,CLARKE,FAUQUIER,RAPPAHANNOCK,PAGE,,,,,,
WASHINGTON,0.291649897,0.686443225,0.021906878,53935,SCOTT,RUSSELL,SMYTH,BRISTOL,GRAYSON,,,,,,,
WAYNESBORO,0.414256035,0.556385577,0.029358388,22196,AUGUSTA,,,,,,,,,,,
WESTMORELAND,0.4920305,0.490777743,0.017191758,18477,KING GEORGE,ESSEX,RICHMOND,NORTHUMBERLAND,,,,,,,,
WILLIAMSBURG,0.604025824,0.364167064,0.031807113,15425,JAMES CITY,YORK,,,,,,,,,,
WINCHESTER,0.481691053,0.489928294,0.028380653,28120,FREDERICK,,,,,,,,,,,
WISE,0.309352957,0.673370697,0.017276345,36130,LEE,SCOTT,DICKENSON,NORTON,RUSSELL,,,,,,,
WYTHE,0.283258354,0.697688276,0.01905337,28290,BLAND,SMYTH,GRAYSON,CARROLL,PULASKI,,,,,,,
YORK,0.387321854,0.587677127,0.025001019,70045,GLOUCESTER,JAMES CITY,WILLIAMSBURG,NEWPORT NEWS,POQUOSON,HAMPTON,NORTHAMPTON,,,,,
